movie,year,imdb_ratings,metacritic,runtime,votes,genres,us_gross
"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,115,387415,"Comedy, Crime, Drama",$54.51M
Room,2015,8.1,86,118,340294,"Drama, Thriller",$14.68M
Whiplash,2014,8.5,88,106,662188,"Drama, Music",$13.09M
Memento,2000,8.4,80,113,1070227,"Mystery, Thriller",$25.54M
The Farewell,2019,7.6,89,100,33792,"Comedy, Drama",$16.88M
Requiem for a Dream,2000,8.3,68,102,729446,Drama,$3.64M
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,130,722173,"Adventure, Drama, Fantasy",$381.01M
Alien,1979,8.4,89,117,747669,"Horror, Sci-Fi",$78.90M
Young Frankenstein,1974,8.0,80,106,137445,Comedy,$86.30M
Captain Fantastic,2016,7.9,72,118,172374,"Comedy, Drama",$5.88M
Dazed and Confused,1993,7.6,78,102,154999,Comedy,$7.99M
12 Angry Men,1957,8.9,96,96,643410,Drama,$4.36M
The Godfather: Part II,1974,9.0,90,202,1063377,"Crime, Drama",$57.30M
Princess Mononoke,1997,8.4,76,134,313918,"Animation, Adventure, Fantasy",$2.38M
The Pianist,2002,8.5,85,150,682111,"Biography, Drama, Music",$32.57M
The Lord of the Rings: The Two Towers,2002,8.7,87,179,1413521,"Adventure, Drama, Fantasy",$342.55M
The Grand Budapest Hotel,2014,8.1,88,99,665647,"Adventure, Comedy, Crime",$59.10M
Skyfall,2012,7.7,81,143,609968,"Action, Adventure, Thriller",$304.36M
Zootopia,2016,8.0,78,108,406972,"Animation, Adventure, Comedy",$341.27M
Iron Man,2008,7.9,79,126,901300,"Action, Adventure, Sci-Fi",$318.41M
The Hateful Eight,2015,7.8,68,168,479670,"Crime, Drama, Mystery",$54.12M
The Big Lebowski,1998,8.1,71,117,692146,"Comedy, Crime, Sport",$17.50M
Goldfinger,1964,7.7,87,110,164442,"Action, Adventure, Thriller",$51.08M
Moana,2016,7.6,81,107,245704,"Animation, Adventure, Comedy",$248.76M
Hacksaw Ridge,2016,8.1,71,139,398121,"Biography, Drama, History",$67.21M
Catch Me If You Can,2002,8.1,75,141,767497,"Biography, Crime, Drama",$164.62M
Harry Potter and the Prisoner of Azkaban,2004,7.9,82,142,514840,"Adventure, Family, Fantasy",$249.36M
One Flew Over the Cuckoo's Nest,1975,8.7,83,133,868402,Drama,$112.00M
All the President's Men,1976,8.0,80,138,96860,"Biography, Drama, History",$70.60M
The Social Network,2010,7.7,95,120,590523,"Biography, Drama",$96.96M
Mulan,1998,7.6,71,88,236302,"Animation, Adventure, Family",$120.62M
Scarface,1983,8.3,65,170,698190,"Crime, Drama",$45.60M
Wonder,2017,8.0,66,113,125317,"Drama, Family",$132.42M
Star Trek,2009,7.9,82,127,566013,"Action, Adventure, Sci-Fi",$257.73M
Braveheart,1995,8.3,68,178,922606,"Biography, Drama, History",$75.60M
Oldboy,2003,8.4,77,120,483908,"Action, Drama, Mystery",$0.71M
American Psycho,2000,7.6,64,101,456460,"Comedy, Crime, Drama",$15.07M
Lion,2016,8.0,69,118,195322,"Biography, Drama",$51.74M
Life Is Beautiful,1997,8.6,59,116,584735,"Comedy, Drama, Romance",$57.60M
Mystic River,2003,7.9,84,138,401567,"Crime, Drama, Mystery",$90.14M
The Hobbit: An Unexpected Journey,2012,7.8,58,169,735919,"Adventure, Family, Fantasy",$303.00M
Arrival,2016,7.9,81,116,553195,"Drama, Mystery, Sci-Fi",$100.55M
A Star Is Born,2018,7.7,88,136,300500,"Drama, Music, Romance",$215.29M
Kingsman: The Secret Service,2014,7.7,60,129,566692,"Action, Adventure, Comedy",$128.26M
Ratatouille,2007,8.0,96,111,607962,"Animation, Adventure, Comedy",$206.45M
The Avengers,2012,8.0,69,143,1221517,"Action, Adventure, Sci-Fi",$623.28M
Children of Men,2006,7.9,84,109,443417,"Drama, Thriller",$35.55M
Drive,2011,7.8,78,100,544231,"Crime, Drama",$35.06M
Raiders of the Lost Ark,1981,8.4,85,115,844491,"Action, Adventure",$248.16M
The Seventh Seal,1957,8.2,-,96,151943,"Drama, Fantasy",-
Superbad,2007,7.6,76,113,500865,Comedy,$121.46M
Sicario,2015,7.6,82,121,347789,"Action, Crime, Drama",$46.89M
The Breakfast Club,1985,7.9,62,97,331438,"Comedy, Drama",$45.88M
Heat,1995,8.2,76,170,546281,"Crime, Drama, Thriller",$67.44M
Kill Bill: Vol. 1,2003,8.1,69,111,951168,"Action, Crime, Thriller",$70.10M
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,119,548727,"Comedy, Drama",$42.34M
The Terminator,1984,8.0,84,107,765953,"Action, Sci-Fi",$38.40M
300,2006,7.6,52,117,711036,"Action, Drama",$210.61M
The Hangover,2009,7.7,73,100,691450,Comedy,$277.32M
What We Do in the Shadows,2014,7.7,76,86,140392,"Comedy, Horror",$3.33M
A Clockwork Orange,1971,8.3,80,136,720894,"Crime, Drama, Sci-Fi",-
Terminator 2: Judgment Day,1991,8.5,75,137,952513,"Action, Sci-Fi",$204.84M
Warrior,2011,8.2,71,140,417382,"Drama, Sport",$13.66M
La La Land,2016,8.0,93,128,468313,"Comedy, Drama, Music",$151.10M
Butch Cassidy and the Sundance Kid,1969,8.0,66,110,194730,"Biography, Crime, Drama",$102.31M
Reservoir Dogs,1992,8.3,79,99,871914,"Crime, Drama, Thriller",$2.83M
Inside Out,2015,8.2,94,95,571212,"Animation, Adventure, Comedy",$356.46M
Sin City,2005,8.0,74,124,726740,"Crime, Thriller",$74.10M
The Girl with the Dragon Tattoo,2011,7.8,71,158,401973,"Crime, Drama, Mystery",$102.52M
Coco,2017,8.4,81,105,325437,"Animation, Adventure, Family",$209.73M
"The Good, the Bad and the Ugly",1966,8.8,90,178,653101,Western,$6.10M
The Last Samurai,2003,7.7,55,154,382559,"Action, Drama, War",$111.11M
Once Upon a Time in America,1984,8.4,-,229,292493,"Crime, Drama",$5.32M
The Incredibles,2004,8.0,90,115,629019,"Animation, Action, Adventure",$261.44M
Up,2009,8.2,88,96,887163,"Animation, Adventure, Comedy",$293.00M
Edge of Tomorrow,2014,7.9,71,113,571096,"Action, Sci-Fi",$100.21M
Psycho,1960,8.5,97,109,566859,"Horror, Mystery, Thriller",$32.00M
Hot Fuzz,2007,7.8,81,121,442716,"Action, Comedy, Mystery",$23.64M
Silver Linings Playbook,2012,7.7,81,122,638666,"Comedy, Drama, Romance",$132.09M
Love Actually,2003,7.6,55,135,408872,"Comedy, Drama, Romance",$59.70M
The Notebook,2004,7.8,53,123,494237,"Drama, Romance",$81.00M
True Romance,1993,7.9,59,119,196791,"Crime, Drama, Romance",$12.28M
City of God,2002,8.6,79,130,669857,"Crime, Drama",$7.56M
Seven Samurai,1954,8.6,98,207,298329,"Action, Adventure, Drama",$0.27M
About Time,2013,7.8,55,123,280477,"Comedy, Drama, Fantasy",$15.32M
Donnie Darko,2001,8.0,88,113,716320,"Drama, Mystery, Sci-Fi",$1.48M
The Sound of Music,1965,8.0,63,172,193370,"Biography, Drama, Family",$163.21M
Moneyball,2011,7.6,87,133,342210,"Biography, Drama, Sport",$75.61M
Toy Story,1995,8.3,95,81,840864,"Animation, Adventure, Comedy",$191.80M
Indiana Jones and the Last Crusade,1989,8.2,65,127,660300,"Action, Adventure",$197.17M
The Handmaiden,2016,8.1,84,145,94052,"Drama, Romance, Thriller",$2.01M
Boogie Nights,1997,7.9,85,155,227857,Drama,$26.40M
The Town,2010,7.5,74,125,334506,"Crime, Drama, Thriller",$92.19M
The Intouchables,2011,8.5,57,112,714105,"Biography, Comedy, Drama",$13.18M
The Fifth Element,1997,7.7,52,126,416875,"Action, Adventure, Sci-Fi",$63.54M
Aliens,1986,8.3,84,137,624535,"Action, Adventure, Sci-Fi",$85.16M
Full Metal Jacket,1987,8.3,76,116,639696,"Drama, War",$46.36M
Blue Is the Warmest Colour,2013,7.7,88,180,130692,"Drama, Romance",$2.20M
American Gangster,2007,7.8,76,157,377379,"Biography, Crime, Drama",$130.16M
Your Name.,2016,8.4,79,106,160866,"Animation, Drama, Fantasy",$5.02M
Pan's Labyrinth,2006,8.2,98,118,593023,"Drama, Fantasy, War",$37.63M
Die Hard,1988,8.2,72,132,751606,"Action, Thriller",$83.01M
Into the Wild,2007,8.1,73,148,544125,"Adventure, Biography, Drama",$18.35M
Fargo,1996,8.1,85,98,585194,"Crime, Drama, Thriller",$24.61M
The Godfather: Part III,1990,7.6,60,162,339079,"Crime, Drama",$66.67M
The Martian,2015,8.0,80,144,718507,"Adventure, Drama, Sci-Fi",$228.43M
Spotlight,2015,8.1,93,129,390035,"Biography, Crime, Drama",$45.06M
The Thing,1982,8.1,57,109,349274,"Horror, Mystery, Sci-Fi",$13.78M
The Truman Show,1998,8.1,90,103,879387,"Comedy, Drama, Sci-Fi",$125.62M
The Hunt,2012,8.3,77,115,258239,Drama,$0.69M
The Blind Side,2009,7.6,53,129,278021,"Biography, Drama, Sport",$255.96M
"Lock, Stock and Two Smoking Barrels",1998,8.2,66,107,511401,"Comedy, Crime",$3.90M
V for Vendetta,2005,8.2,62,132,985417,"Action, Drama, Sci-Fi",$70.51M
The Exorcist,1973,8.0,81,122,347139,Horror,$232.91M
Big Fish,2003,8.0,58,125,400393,"Adventure, Drama, Fantasy",$66.26M
Capernaum,2018,8.4,75,126,40485,Drama,$1.66M
Star Wars: Episode VI - Return of the Jedi,1983,8.3,58,131,906237,"Action, Adventure, Fantasy",$309.13M
2001: A Space Odyssey,1968,8.3,84,149,570057,"Adventure, Sci-Fi",$56.95M
The Sandlot,1993,7.8,55,101,74718,"Comedy, Drama, Family",$32.42M
Gangs of New York,2002,7.5,72,167,387128,"Crime, Drama",$77.81M
Incredibles 2,2018,7.6,80,118,227724,"Animation, Action, Adventure",$608.58M
Memories of Murder,2003,8.1,82,132,116965,"Action, Crime, Drama",$0.01M
Ghostbusters,1984,7.8,71,105,339208,"Action, Comedy, Fantasy",$238.63M
Groundhog Day,1993,8.0,72,101,558502,"Comedy, Fantasy, Romance",$70.91M
Nightcrawler,2014,7.9,76,117,431277,"Crime, Drama, Thriller",$32.38M
The Impossible,2012,7.6,73,114,186980,"Drama, History, Thriller",$19.02M
Harry Potter and the Half-Blood Prince,2009,7.6,78,153,441667,"Action, Adventure, Family",$301.96M
Captain America: Civil War,2016,7.8,75,147,624214,"Action, Adventure, Sci-Fi",$408.08M
Escape from Alcatraz,1979,7.6,76,112,110218,"Biography, Crime, Drama",$43.00M
Unforgiven,1992,8.2,85,130,356410,"Drama, Western",$101.16M
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82,124,1105228,"Action, Adventure, Fantasy",$290.48M
Minority Report,2002,7.6,80,145,485963,"Action, Crime, Mystery",$132.07M
A Beautiful Mind,2001,8.2,72,135,805244,"Biography, Drama",$170.74M
Inside Man,2006,7.6,76,129,323268,"Crime, Drama, Mystery",$88.51M
Once Upon a Time in the West,1968,8.5,80,165,285531,Western,$5.32M
12 Years a Slave,2013,8.1,96,134,605372,"Biography, Drama, History",$56.67M
Rush,2013,8.1,74,123,410846,"Biography, Drama, Sport",$26.95M
"Monsters, Inc.",2001,8.0,79,92,775377,"Animation, Adventure, Comedy",$289.92M
The Perks of Being a Wallflower,2012,8.0,67,103,436847,"Drama, Romance",$17.74M
Mulholland Drive,2001,8.0,83,147,302478,"Drama, Mystery, Thriller",$7.22M
Lost in Translation,2003,7.7,89,102,390783,"Drama, Romance",$44.59M
The Sixth Sense,1999,8.1,64,107,874700,"Drama, Mystery, Thriller",$293.51M
The Imitation Game,2014,8.0,73,114,647717,"Biography, Drama, Thriller",$91.13M
Mary Poppins,1964,7.8,88,139,150317,"Comedy, Family, Fantasy",$102.27M
My Neighbor Totoro,1988,8.2,86,86,260586,"Animation, Family, Fantasy",$1.11M
Mad Max 2: The Road Warrior,1981,7.6,77,96,159775,"Action, Adventure, Sci-Fi",$12.47M
Apocalypto,2006,7.8,68,139,278424,"Action, Adventure, Drama",$50.87M
Airplane!,1980,7.7,78,88,199227,Comedy,$83.40M
Atonement,2007,7.8,85,123,236977,"Drama, Mystery, Romance",$50.93M
